creative_id,image_url,creative_format,content_type,image_tags,sentiment_score,audit_status,created_date,campaign_id
CRE_000021,https://demo-assets.com/creatives/CRE_000021.jpg,Video,Promotional,"sale,discount,offer,urgent,bold,subtle,trendy",-0.26,Approved,2025-08-13,CAM_000006
CRE_000022,https://demo-assets.com/creatives/CRE_000022.png,Native,Product Shot,"product,clean,minimalist,brand,trendy,colorful,subtle",0.33,Approved,2024-12-18,CAM_000006
CRE_000023,https://demo-assets.com/creatives/CRE_000023.mp4,CTV,Educational,"informative,tutorial,how-to,expert,modern,trendy,bold",-0.01,Under Review,2025-06-20,CAM_000006
CRE_000024,https://demo-assets.com/creatives/CRE_000024.jpg,Display,Brand Story,"heritage,story,values,mission,subtle,bold,trendy",0.05,Approved,2024-10-24,CAM_000006
CRE_000025,https://demo-assets.com/creatives/CRE_000025.jpg,Audio,Brand Story,"heritage,story,values,mission,subtle,trendy,classic",0.2,Pending,2024-12-30,CAM_000007
CRE_000026,https://demo-assets.com/creatives/CRE_000026.gif,Banner,Promotional,"sale,discount,offer,urgent,modern,professional,colorful",0.04,Approved,2024-08-08,CAM_000007
CRE_000027,https://demo-assets.com/creatives/CRE_000027.png,Rich Media,Lifestyle,"people,lifestyle,authentic,emotional,professional",0.2,Under Review,2024-05-15,CAM_000007
CRE_000028,https://demo-assets.com/creatives/CRE_000028.jpg,Social Post,Promotional,"sale,discount,offer,urgent,subtle",-0.52,Approved,2025-05-04,CAM_000007
CRE_000029,https://demo-assets.com/creatives/CRE_000029.mp4,Audio,Educational,"informative,tutorial,how-to,expert,colorful,classic",0.28,Pending,2025-04-28,CAM_000008
CRE_000030,https://demo-assets.com/creatives/CRE_000030.png,Display,Brand Story,"heritage,story,values,mission,classic,bold,professional",0.85,Approved,2025-05-18,CAM_000008
CRE_000031,https://demo-assets.com/creatives/CRE_000031.png,Social Post,Brand Story,"heritage,story,values,mission,bold,modern",-0.77,Approved,2024-05-09,CAM_000008
CRE_000032,https://demo-assets.com/creatives/CRE_000032.png,Social Post,Educational,"informative,tutorial,how-to,expert,trendy",-0.18,Under Review,2025-03-23,CAM_000008
CRE_000033,https://demo-assets.com/creatives/CRE_000033.gif,Display,Brand Story,"heritage,story,values,mission,colorful,classic",-0.51,Approved,2024-11-20,CAM_000009
CRE_000034,https://demo-assets.com/creatives/CRE_000034.png,Native,Testimonial,"review,customer,satisfaction,trust,colorful,professional",-0.2,Pending,2025-02-14,CAM_000009
CRE_000035,https://demo-assets.com/creatives/CRE_000035.gif,Social Post,Lifestyle,"people,lifestyle,authentic,emotional,modern,bold",-0.48,Pending,2024-06-01,CAM_000009
CRE_000036,https://demo-assets.com/creatives/CRE_000036.png,Native,Brand Story,"heritage,story,values,mission,colorful",0.55,Approved,2024-08-05,CAM_000009
CRE_000037,https://demo-assets.com/creatives/CRE_000037.png,Audio,Product Shot,"product,clean,minimalist,brand,classic,professional",0.21,Pending,2023-11-20,CAM_000010
CRE_000038,https://demo-assets.com/creatives/CRE_000038.gif,Social Post,Educational,"informative,tutorial,how-to,expert,professional",-0.73,Approved,2025-01-03,CAM_000010
CRE_000039,https://demo-assets.com/creatives/CRE_000039.mp4,Banner,Promotional,"sale,discount,offer,urgent,professional,colorful",-0.07,Approved,2023-09-11,CAM_000010
CRE_000040,https://demo-assets.com/creatives/CRE_000040.jpg,CTV,Testimonial,"review,customer,satisfaction,trust,trendy,colorful",0.42,Approved,2024-05-26,CAM_000010
CRE_000041,https://demo-assets.com/creatives/CRE_000041.png,Banner,Brand Story,"heritage,story,values,mission,classic",-0.38,Pending,2024-12-15,CAM_000011
CRE_000042,https://demo-assets.com/creatives/CRE_000042.gif,Native,Lifestyle,"people,lifestyle,authentic,emotional,subtle",-0.64,Under Review,2025-04-15,CAM_000011
CRE_000043,https://demo-assets.com/creatives/CRE_000043.jpg,Rich Media,Educational,"informative,tutorial,how-to,expert,trendy",-0.09,Approved,2024-10-13,CAM_000011
CRE_000044,https://demo-assets.com/creatives/CRE_000044.mp4,Native,Educational,"informative,tutorial,how-to,expert,trendy,colorful",-0.12,Approved,2024-06-08,CAM_000011
CRE_000045,https://demo-assets.com/creatives/CRE_000045.gif,Social Post,Testimonial,"review,customer,satisfaction,trust,modern",0.68,Approved,2023-11-26,CAM_000012
CRE_000046,https://demo-assets.com/creatives/CRE_000046.jpg,Rich Media,Brand Story,"heritage,story,values,mission,trendy,subtle,colorful",0.17,Approved,2025-06-25,CAM_000012
CRE_000047,https://demo-assets.com/creatives/CRE_000047.gif,Native,Lifestyle,"people,lifestyle,authentic,emotional,modern,colorful",0.6,Approved,2024-09-03,CAM_000012
CRE_000048,https://demo-assets.com/creatives/CRE_000048.png,Rich Media,Brand Story,"heritage,story,values,mission,bold",0.54,Approved,2025-05-01,CAM_000012
CRE_000049,https://demo-assets.com/creatives/CRE_000049.png,Audio,Promotional,"sale,discount,offer,urgent,colorful,modern,subtle",0.8,Pending,2025-03-05,CAM_000013
CRE_000050,https://demo-assets.com/creatives/CRE_000050.jpg,Social Post,Promotional,"sale,discount,offer,urgent,professional,subtle",0.76,Approved,2024-07-04,CAM_000013
CRE_000051,https://demo-assets.com/creatives/CRE_000051.mp4,Native,Educational,"informative,tutorial,how-to,expert,trendy,modern",0.01,Approved,2024-03-13,CAM_000013
CRE_000052,https://demo-assets.com/creatives/CRE_000052.mp4,Banner,Educational,"informative,tutorial,how-to,expert,bold,subtle,classic",-0.49,Under Review,2024-01-31,CAM_000013
CRE_000053,https://demo-assets.com/creatives/CRE_000053.mp4,Audio,Educational,"informative,tutorial,how-to,expert,modern",0.66,Approved,2023-12-07,CAM_000014
CRE_000054,https://demo-assets.com/creatives/CRE_000054.gif,CTV,Product Shot,"product,clean,minimalist,brand,professional",0.25,Approved,2025-05-24,CAM_000014
CRE_000055,https://demo-assets.com/creatives/CRE_000055.mp4,Native,Promotional,"sale,discount,offer,urgent,bold,colorful,professional",0.15,Approved,2024-02-14,CAM_000014
CRE_000056,https://demo-assets.com/creatives/CRE_000056.png,Audio,Testimonial,"review,customer,satisfaction,trust,colorful,modern",-0.43,Approved,2025-05-03,CAM_000014
CRE_000057,https://demo-assets.com/creatives/CRE_000057.gif,Display,Testimonial,"review,customer,satisfaction,trust,classic",0.17,Approved,2024-01-27,CAM_000015
CRE_000058,https://demo-assets.com/creatives/CRE_000058.mp4,Banner,Lifestyle,"people,lifestyle,authentic,emotional,professional,subtle",0.47,Approved,2024-05-13,CAM_000015
CRE_000059,https://demo-assets.com/creatives/CRE_000059.gif,Native,Educational,"informative,tutorial,how-to,expert,classic,colorful,subtle",-0.51,Approved,2025-03-15,CAM_000015
CRE_000060,https://demo-assets.com/creatives/CRE_000060.mp4,Audio,Product Shot,"product,clean,minimalist,brand,colorful,professional,classic",-0.41,Rejected,2023-10-13,CAM_000015
CRE_000061,https://demo-assets.com/creatives/CRE_000061.gif,Display,Educational,"informative,tutorial,how-to,expert,subtle,bold,colorful",0.43,Approved,2024-12-15,CAM_000016
CRE_000062,https://demo-assets.com/creatives/CRE_000062.png,Banner,Testimonial,"review,customer,satisfaction,trust,classic",0.01,Approved,2025-01-12,CAM_000016
CRE_000063,https://demo-assets.com/creatives/CRE_000063.gif,Social Post,Product Shot,"product,clean,minimalist,brand,modern,trendy",0.45,Approved,2023-12-08,CAM_000016
CRE_000064,https://demo-assets.com/creatives/CRE_000064.gif,CTV,User Generated,"real,community,user,authentic,subtle,professional,bold",-0.71,Pending,2025-06-21,CAM_000016
CRE_000065,https://demo-assets.com/creatives/CRE_000065.mp4,Video,User Generated,"real,community,user,authentic,professional,trendy",0.69,Approved,2024-08-08,CAM_000017
CRE_000066,https://demo-assets.com/creatives/CRE_000066.gif,Social Post,Testimonial,"review,customer,satisfaction,trust,bold,trendy",0.48,Approved,2024-11-13,CAM_000017
CRE_000067,https://demo-assets.com/creatives/CRE_000067.mp4,Video,Promotional,"sale,discount,offer,urgent,subtle,trendy,colorful",0.59,Pending,2024-09-12,CAM_000017
CRE_000068,https://demo-assets.com/creatives/CRE_000068.gif,Banner,Product Shot,"product,clean,minimalist,brand,modern",0.77,Approved,2025-08-13,CAM_000017
CRE_000069,https://demo-assets.com/creatives/CRE_000069.gif,Video,Product Shot,"product,clean,minimalist,brand,subtle,professional,colorful",0.3,Pending,2023-09-13,CAM_000018
CRE_000070,https://demo-assets.com/creatives/CRE_000070.gif,Social Post,Product Shot,"product,clean,minimalist,brand,bold,subtle",0.48,Approved,2025-02-28,CAM_000018
CRE_000071,https://demo-assets.com/creatives/CRE_000071.png,Display,Product Shot,"product,clean,minimalist,brand,trendy",-0.04,Under Review,2024-10-17,CAM_000018
CRE_000072,https://demo-assets.com/creatives/CRE_000072.gif,Rich Media,Lifestyle,"people,lifestyle,authentic,emotional,modern",0.3,Approved,2024-07-21,CAM_000018
CRE_000073,https://demo-assets.com/creatives/CRE_000073.jpg,Banner,Testimonial,"review,customer,satisfaction,trust,modern,trendy",0.13,Approved,2024-11-10,CAM_000019
CRE_000074,https://demo-assets.com/creatives/CRE_000074.mp4,Native,Educational,"informative,tutorial,how-to,expert,professional,modern",0.52,Approved,2025-07-15,CAM_000019
CRE_000075,https://demo-assets.com/creatives/CRE_000075.png,CTV,User Generated,"real,community,user,authentic,classic,modern,subtle",0.05,Approved,2025-04-02,CAM_000019
CRE_000076,https://demo-assets.com/creatives/CRE_000076.gif,Banner,Educational,"informative,tutorial,how-to,expert,professional,bold",-0.45,Approved,2025-07-05,CAM_000019
CRE_000077,https://demo-assets.com/creatives/CRE_000077.gif,Native,Brand Story,"heritage,story,values,mission,trendy,classic,professional",0.88,Approved,2025-01-27,CAM_000020
CRE_000078,https://demo-assets.com/creatives/CRE_000078.png,Display,Testimonial,"review,customer,satisfaction,trust,subtle,colorful,professional",-0.56,Approved,2024-01-14,CAM_000020
CRE_000079,https://demo-assets.com/creatives/CRE_000079.gif,CTV,Product Shot,"product,clean,minimalist,brand,trendy,classic",0.5,Pending,2025-04-27,CAM_000020
CRE_000080,https://demo-assets.com/creatives/CRE_000080.gif,Social Post,Brand Story,"heritage,story,values,mission,modern,colorful,professional",-0.45,Pending,2023-11-24,CAM_000020
CRE_000081,https://demo-assets.com/creatives/CRE_000081.jpg,Video,Educational,"informative,tutorial,how-to,expert,classic",0.01,Under Review,2025-01-01,CAM_000021
CRE_000082,https://demo-assets.com/creatives/CRE_000082.png,Native,Testimonial,"review,customer,satisfaction,trust,professional,classic,colorful",0.03,Approved,2024-11-25,CAM_000021
CRE_000083,https://demo-assets.com/creatives/CRE_000083.png,Social Post,Brand Story,"heritage,story,values,mission,professional,bold",-0.01,Approved,2024-05-01,CAM_000021
CRE_000084,https://demo-assets.com/creatives/CRE_000084.mp4,Banner,User Generated,"real,community,user,authentic,professional,subtle",-0.51,Approved,2025-06-14,CAM_000021
CRE_000085,https://demo-assets.com/creatives/CRE_000085.png,Native,Product Shot,"product,clean,minimalist,brand,trendy",0.85,Approved,2024-07-11,CAM_000022
CRE_000086,https://demo-assets.com/creatives/CRE_000086.jpg,Rich Media,Promotional,"sale,discount,offer,urgent,trendy,professional",-0.61,Approved,2024-11-27,CAM_000022
CRE_000087,https://demo-assets.com/creatives/CRE_000087.png,Social Post,Educational,"informative,tutorial,how-to,expert,modern",-0.69,Approved,2025-01-27,CAM_000022
CRE_000088,https://demo-assets.com/creatives/CRE_000088.mp4,CTV,Lifestyle,"people,lifestyle,authentic,emotional,subtle",0.89,Approved,2024-03-09,CAM_000022
CRE_000089,https://demo-assets.com/creatives/CRE_000089.png,Audio,Lifestyle,"people,lifestyle,authentic,emotional,classic,trendy,subtle",0.58,Approved,2024-06-26,CAM_000023
CRE_000090,https://demo-assets.com/creatives/CRE_000090.gif,Video,Educational,"informative,tutorial,how-to,expert,classic,colorful,modern",0.05,Under Review,2024-05-17,CAM_000023
CRE_000091,https://demo-assets.com/creatives/CRE_000091.png,Social Post,Brand Story,"heritage,story,values,mission,trendy,subtle",0.35,Approved,2024-04-11,CAM_000023
CRE_000092,https://demo-assets.com/creatives/CRE_000092.png,Banner,Product Shot,"product,clean,minimalist,brand,trendy,subtle",0.73,Approved,2025-04-19,CAM_000023
CRE_000093,https://demo-assets.com/creatives/CRE_000093.gif,Video,Promotional,"sale,discount,offer,urgent,bold",0.52,Approved,2023-12-19,CAM_000024
CRE_000094,https://demo-assets.com/creatives/CRE_000094.mp4,Banner,User Generated,"real,community,user,authentic,modern",-0.73,Rejected,2024-11-22,CAM_000024
CRE_000095,https://demo-assets.com/creatives/CRE_000095.jpg,Rich Media,Product Shot,"product,clean,minimalist,brand,trendy,classic,colorful",-0.03,Approved,2025-06-18,CAM_000024
CRE_000096,https://demo-assets.com/creatives/CRE_000096.mp4,Native,User Generated,"real,community,user,authentic,classic,bold",0.62,Pending,2024-09-17,CAM_000024
CRE_000097,https://demo-assets.com/creatives/CRE_000097.jpg,Display,Testimonial,"review,customer,satisfaction,trust,trendy",-0.02,Approved,2025-05-17,CAM_000025
CRE_000098,https://demo-assets.com/creatives/CRE_000098.gif,Display,User Generated,"real,community,user,authentic,trendy",0.27,Approved,2024-10-13,CAM_000025
CRE_000099,https://demo-assets.com/creatives/CRE_000099.jpg,Social Post,User Generated,"real,community,user,authentic,modern",0.42,Rejected,2024-04-26,CAM_000025
CRE_000100,https://demo-assets.com/creatives/CRE_000100.gif,Social Post,Testimonial,"review,customer,satisfaction,trust,bold",-0.11,Approved,2025-02-28,CAM_000025
CRE_000101,https://demo-assets.com/creatives/CRE_000101.jpg,Banner,User Generated,"real,community,user,authentic,professional",-0.39,Approved,2024-10-18,CAM_000026
CRE_000102,https://demo-assets.com/creatives/CRE_000102.png,Banner,Brand Story,"heritage,story,values,mission,modern",0.34,Rejected,2024-02-15,CAM_000026
CRE_000103,https://demo-assets.com/creatives/CRE_000103.gif,Audio,Promotional,"sale,discount,offer,urgent,subtle",0.27,Approved,2024-02-10,CAM_000026
CRE_000104,https://demo-assets.com/creatives/CRE_000104.jpg,Audio,Promotional,"sale,discount,offer,urgent,trendy,modern,colorful",-0.5,Pending,2025-02-12,CAM_000026
CRE_000105,https://demo-assets.com/creatives/CRE_000105.png,Audio,Testimonial,"review,customer,satisfaction,trust,trendy,bold,subtle",0.32,Approved,2025-01-23,CAM_000027
CRE_000106,https://demo-assets.com/creatives/CRE_000106.jpg,Social Post,User Generated,"real,community,user,authentic,classic",0.8,Approved,2025-07-13,CAM_000027
CRE_000107,https://demo-assets.com/creatives/CRE_000107.png,Rich Media,Educational,"informative,tutorial,how-to,expert,bold,colorful",0.14,Approved,2023-12-15,CAM_000027
CRE_000108,https://demo-assets.com/creatives/CRE_000108.gif,CTV,Educational,"informative,tutorial,how-to,expert,colorful,bold,classic",0.3,Approved,2025-02-09,CAM_000027
CRE_000109,https://demo-assets.com/creatives/CRE_000109.mp4,Native,Testimonial,"review,customer,satisfaction,trust,bold,modern",-0.57,Pending,2025-08-21,CAM_000028
CRE_000110,https://demo-assets.com/creatives/CRE_000110.gif,Audio,Product Shot,"product,clean,minimalist,brand,subtle,bold",-0.37,Pending,2024-01-17,CAM_000028
CRE_000111,https://demo-assets.com/creatives/CRE_000111.jpg,CTV,Testimonial,"review,customer,satisfaction,trust,professional,subtle",0.85,Rejected,2024-10-10,CAM_000028
CRE_000112,https://demo-assets.com/creatives/CRE_000112.mp4,Audio,Testimonial,"review,customer,satisfaction,trust,classic,bold,colorful",0.69,Approved,2024-12-17,CAM_000028
CRE_000113,https://demo-assets.com/creatives/CRE_000113.gif,CTV,Lifestyle,"people,lifestyle,authentic,emotional,subtle,professional,modern",-0.54,Approved,2025-02-09,CAM_000029
CRE_000114,https://demo-assets.com/creatives/CRE_000114.gif,Native,Lifestyle,"people,lifestyle,authentic,emotional,colorful,modern",0.57,Approved,2025-03-18,CAM_000029
CRE_000115,https://demo-assets.com/creatives/CRE_000115.mp4,Social Post,Promotional,"sale,discount,offer,urgent,colorful,bold,subtle",0.16,Approved,2024-10-24,CAM_000029
CRE_000116,https://demo-assets.com/creatives/CRE_000116.gif,Native,Lifestyle,"people,lifestyle,authentic,emotional,colorful,subtle,bold",-0.49,Under Review,2024-11-08,CAM_000029
CRE_000117,https://demo-assets.com/creatives/CRE_000117.jpg,Native,Product Shot,"product,clean,minimalist,brand,modern,professional",0.84,Under Review,2025-07-29,CAM_000030
CRE_000118,https://demo-assets.com/creatives/CRE_000118.gif,Social Post,Lifestyle,"people,lifestyle,authentic,emotional,subtle",0.24,Approved,2025-02-09,CAM_000030
CRE_000119,https://demo-assets.com/creatives/CRE_000119.png,Native,User Generated,"real,community,user,authentic,classic,trendy,professional",-0.43,Pending,2025-01-14,CAM_000030
CRE_000120,https://demo-assets.com/creatives/CRE_000120.gif,CTV,Testimonial,"review,customer,satisfaction,trust,classic,professional",0.41,Approved,2025-06-23,CAM_000030
CRE_000121,https://demo-assets.com/creatives/CRE_000121.jpg,Native,Promotional,"sale,discount,offer,urgent,colorful,subtle",-0.38,Approved,2024-10-03,CAM_000031
CRE_000122,https://demo-assets.com/creatives/CRE_000122.jpg,Banner,User Generated,"real,community,user,authentic,classic,bold",-0.24,Approved,2025-06-11,CAM_000031
CRE_000123,https://demo-assets.com/creatives/CRE_000123.gif,Rich Media,Testimonial,"review,customer,satisfaction,trust,colorful,bold,trendy",-0.78,Approved,2024-07-14,CAM_000031
CRE_000124,https://demo-assets.com/creatives/CRE_000124.gif,Video,Promotional,"sale,discount,offer,urgent,colorful,trendy",0.78,Approved,2023-09-19,CAM_000031
CRE_000125,https://demo-assets.com/creatives/CRE_000125.png,Video,Testimonial,"review,customer,satisfaction,trust,trendy,professional",0.65,Rejected,2023-11-26,CAM_000032
CRE_000126,https://demo-assets.com/creatives/CRE_000126.png,Video,Lifestyle,"people,lifestyle,authentic,emotional,colorful,professional",0.08,Approved,2024-06-14,CAM_000032
CRE_000127,https://demo-assets.com/creatives/CRE_000127.png,Display,Lifestyle,"people,lifestyle,authentic,emotional,professional,classic,modern",-0.74,Approved,2023-10-18,CAM_000032
CRE_000128,https://demo-assets.com/creatives/CRE_000128.gif,Social Post,Brand Story,"heritage,story,values,mission,professional,trendy",-0.29,Pending,2023-10-21,CAM_000032
CRE_000129,https://demo-assets.com/creatives/CRE_000129.png,Native,Promotional,"sale,discount,offer,urgent,subtle",-0.71,Approved,2024-03-22,CAM_000033
CRE_000130,https://demo-assets.com/creatives/CRE_000130.gif,Display,Testimonial,"review,customer,satisfaction,trust,colorful",0.89,Approved,2025-04-05,CAM_000033
CRE_000131,https://demo-assets.com/creatives/CRE_000131.gif,Video,User Generated,"real,community,user,authentic,classic,professional",-0.59,Under Review,2025-08-27,CAM_000033
CRE_000132,https://demo-assets.com/creatives/CRE_000132.png,Banner,Brand Story,"heritage,story,values,mission,modern,classic",0.69,Approved,2025-01-20,CAM_000033
CRE_000133,https://demo-assets.com/creatives/CRE_000133.gif,Display,Lifestyle,"people,lifestyle,authentic,emotional,colorful,modern,classic",-0.1,Under Review,2023-12-25,CAM_000034
CRE_000134,https://demo-assets.com/creatives/CRE_000134.mp4,Social Post,User Generated,"real,community,user,authentic,modern,bold",0.64,Approved,2023-10-25,CAM_000034
CRE_000135,https://demo-assets.com/creatives/CRE_000135.jpg,Rich Media,Testimonial,"review,customer,satisfaction,trust,modern,subtle",0.41,Approved,2025-04-04,CAM_000034
CRE_000136,https://demo-assets.com/creatives/CRE_000136.mp4,Video,Brand Story,"heritage,story,values,mission,modern",0.65,Approved,2024-02-05,CAM_000034
CRE_000137,https://demo-assets.com/creatives/CRE_000137.png,Banner,Educational,"informative,tutorial,how-to,expert,modern,bold",-0.68,Under Review,2024-10-09,CAM_000035
CRE_000138,https://demo-assets.com/creatives/CRE_000138.jpg,Display,Product Shot,"product,clean,minimalist,brand,modern",0.49,Pending,2024-05-28,CAM_000035
CRE_000139,https://demo-assets.com/creatives/CRE_000139.mp4,Native,Product Shot,"product,clean,minimalist,brand,trendy",0.62,Pending,2024-08-05,CAM_000035
CRE_000140,https://demo-assets.com/creatives/CRE_000140.gif,Video,User Generated,"real,community,user,authentic,classic",-0.47,Approved,2024-12-02,CAM_000035
CRE_000141,https://demo-assets.com/creatives/CRE_000141.mp4,Rich Media,Promotional,"sale,discount,offer,urgent,bold,subtle,trendy",0.64,Approved,2025-01-15,CAM_000036
CRE_000142,https://demo-assets.com/creatives/CRE_000142.jpg,Banner,Testimonial,"review,customer,satisfaction,trust,modern,professional",-0.05,Under Review,2024-10-24,CAM_000036
CRE_000143,https://demo-assets.com/creatives/CRE_000143.png,Social Post,Testimonial,"review,customer,satisfaction,trust,professional",-0.26,Approved,2024-02-20,CAM_000036
CRE_000144,https://demo-assets.com/creatives/CRE_000144.jpg,Banner,Brand Story,"heritage,story,values,mission,modern,subtle",0.52,Approved,2024-12-25,CAM_000036
CRE_000145,https://demo-assets.com/creatives/CRE_000145.mp4,CTV,Brand Story,"heritage,story,values,mission,trendy",-0.65,Approved,2024-06-19,CAM_000037
CRE_000146,https://demo-assets.com/creatives/CRE_000146.mp4,Native,Testimonial,"review,customer,satisfaction,trust,classic,subtle,colorful",-0.2,Approved,2024-09-16,CAM_000037
CRE_000147,https://demo-assets.com/creatives/CRE_000147.mp4,Audio,Product Shot,"product,clean,minimalist,brand,professional,colorful,classic",0.07,Approved,2025-04-13,CAM_000037
CRE_000148,https://demo-assets.com/creatives/CRE_000148.gif,Video,Brand Story,"heritage,story,values,mission,professional,colorful,subtle",-0.36,Pending,2025-01-30,CAM_000037
CRE_000149,https://demo-assets.com/creatives/CRE_000149.jpg,Social Post,Brand Story,"heritage,story,values,mission,bold,classic",0.77,Approved,2025-01-27,CAM_000038
CRE_000150,https://demo-assets.com/creatives/CRE_000150.mp4,CTV,Testimonial,"review,customer,satisfaction,trust,colorful,professional",-0.78,Approved,2023-10-14,CAM_000038
CRE_000151,https://demo-assets.com/creatives/CRE_000151.jpg,Banner,Brand Story,"heritage,story,values,mission,subtle,professional",0.12,Under Review,2024-06-14,CAM_000038
CRE_000152,https://demo-assets.com/creatives/CRE_000152.jpg,Rich Media,User Generated,"real,community,user,authentic,classic,bold,trendy",0.57,Approved,2024-07-10,CAM_000038
CRE_000153,https://demo-assets.com/creatives/CRE_000153.jpg,Rich Media,User Generated,"real,community,user,authentic,modern,bold",-0.39,Approved,2025-04-07,CAM_000039
CRE_000154,https://demo-assets.com/creatives/CRE_000154.jpg,Social Post,Brand Story,"heritage,story,values,mission,trendy,professional",0.32,Approved,2025-01-22,CAM_000039
CRE_000155,https://demo-assets.com/creatives/CRE_000155.mp4,Banner,Lifestyle,"people,lifestyle,authentic,emotional,subtle,bold",-0.65,Under Review,2025-08-15,CAM_000039
CRE_000156,https://demo-assets.com/creatives/CRE_000156.png,Audio,Brand Story,"heritage,story,values,mission,trendy,classic",0.67,Pending,2023-10-19,CAM_000039
CRE_000157,https://demo-assets.com/creatives/CRE_000157.jpg,Display,Brand Story,"heritage,story,values,mission,bold,professional",0.79,Approved,2025-03-05,CAM_000040
CRE_000158,https://demo-assets.com/creatives/CRE_000158.jpg,CTV,Promotional,"sale,discount,offer,urgent,professional,colorful",0.5,Pending,2024-02-05,CAM_000040
CRE_000159,https://demo-assets.com/creatives/CRE_000159.gif,CTV,Product Shot,"product,clean,minimalist,brand,trendy,classic,professional",0.89,Approved,2025-06-05,CAM_000040
CRE_000160,https://demo-assets.com/creatives/CRE_000160.jpg,Native,Product Shot,"product,clean,minimalist,brand,trendy,colorful,classic",0.12,Pending,2025-05-30,CAM_000040
CRE_000161,https://demo-assets.com/creatives/CRE_000161.jpg,Audio,Testimonial,"review,customer,satisfaction,trust,colorful",-0.46,Rejected,2024-07-29,CAM_000041
CRE_000162,https://demo-assets.com/creatives/CRE_000162.jpg,Native,Testimonial,"review,customer,satisfaction,trust,modern,colorful",-0.23,Approved,2024-02-21,CAM_000041
CRE_000163,https://demo-assets.com/creatives/CRE_000163.png,Display,User Generated,"real,community,user,authentic,subtle",0.56,Approved,2024-12-15,CAM_000041
CRE_000164,https://demo-assets.com/creatives/CRE_000164.mp4,Video,Product Shot,"product,clean,minimalist,brand,trendy,modern,colorful",0.89,Pending,2025-02-08,CAM_000041
CRE_000165,https://demo-assets.com/creatives/CRE_000165.png,Native,Lifestyle,"people,lifestyle,authentic,emotional,subtle",0.22,Approved,2024-06-04,CAM_000042
