segment_id,audience_id,segment_name,primary_interest,secondary_interest,lookalike_segment_flag
SEG_000051,AUD_000021,Emerging Outdoor Activities Enthusiasts,Art & Culture,Eco-Friendly,False
SEG_000052,AUD_000022,Value Sports Enthusiasts,Environment,International News,True
SEG_000053,AUD_000022,Niche Art & Culture Enthusiasts,Finance,Budget Shopping,True
SEG_000054,AUD_000022,Premium Parenting Enthusiasts,Food & Dining,Mobile Apps,False
SEG_000055,AUD_000023,Core Environment Enthusiasts,Books,Local Events,False
SEG_000056,AUD_000024,Niche Travel Enthusiasts,Parenting,Luxury Goods,True
SEG_000057,AUD_000024,Core Entertainment Enthusiasts,Entertainment,Streaming,True
SEG_000058,AUD_000024,Premium Art & Culture Enthusiasts,Science,International News,False
SEG_000059,AUD_000025,Core Business Enthusiasts,Automotive,Photography,True
SEG_000060,AUD_000025,Value Entertainment Enthusiasts,Travel,Local Events,True
SEG_000061,AUD_000025,Core Pets Enthusiasts,Fashion & Beauty,Luxury Goods,False
SEG_000062,AUD_000025,Premium Fashion & Beauty Enthusiasts,Entertainment,Social Media,False
SEG_000063,AUD_000026,Niche Books Enthusiasts,Fitness,International News,False
SEG_000064,AUD_000026,Core Finance Enthusiasts,Travel,Social Causes,True
SEG_000065,AUD_000026,Premium Health & Wellness Enthusiasts,Food & Dining,Luxury Goods,True
SEG_000066,AUD_000026,Premium Health & Wellness Enthusiasts,Fitness,Social Causes,True
SEG_000067,AUD_000027,Niche Health & Wellness Enthusiasts,Travel,International News,False
SEG_000068,AUD_000027,Value Fitness Enthusiasts,Art & Culture,Luxury Goods,True
SEG_000069,AUD_000027,Value Sports Enthusiasts,Books,E-commerce,False
SEG_000070,AUD_000027,Core Fashion & Beauty Enthusiasts,Outdoor Activities,Career Development,True
SEG_000071,AUD_000028,Niche Music Enthusiasts,Technology,Photography,True
SEG_000072,AUD_000028,Premium Politics Enthusiasts,Science,Mobile Apps,False
SEG_000073,AUD_000028,Core Books Enthusiasts,Real Estate,International News,True
SEG_000074,AUD_000029,Core Fitness Enthusiasts,Parenting,Social Media,True
SEG_000075,AUD_000029,Premium Parenting Enthusiasts,Fashion & Beauty,Mobile Apps,False
SEG_000076,AUD_000029,Niche Travel Enthusiasts,Automotive,Mobile Apps,False
SEG_000077,AUD_000029,Premium Fitness Enthusiasts,Business,Cooking,False
SEG_000078,AUD_000030,Premium Entertainment Enthusiasts,Finance,Investment,False
SEG_000079,AUD_000030,Emerging Outdoor Activities Enthusiasts,Home & Garden,Career Development,False
SEG_000080,AUD_000030,Niche Science Enthusiasts,Environment,E-commerce,True
SEG_000081,AUD_000030,Emerging Books Enthusiasts,Science,Streaming,False
SEG_000082,AUD_000031,Core Entertainment Enthusiasts,Business,Investment,False
SEG_000083,AUD_000031,Premium Environment Enthusiasts,Fitness,Social Causes,True
SEG_000084,AUD_000031,Value Entertainment Enthusiasts,Business,Social Media,True
SEG_000085,AUD_000032,Core Finance Enthusiasts,Home & Garden,Investment,True
SEG_000086,AUD_000032,Premium Gaming Enthusiasts,Automotive,Cooking,True
SEG_000087,AUD_000032,Value Parenting Enthusiasts,Technology,Eco-Friendly,False
SEG_000088,AUD_000032,Core Food & Dining Enthusiasts,Business,Career Development,True
SEG_000089,AUD_000033,Core Automotive Enthusiasts,Education,Cooking,True
SEG_000090,AUD_000033,Niche Automotive Enthusiasts,Sports,DIY Projects,True
SEG_000091,AUD_000034,Core Food & Dining Enthusiasts,Food & Dining,DIY Projects,True
SEG_000092,AUD_000034,Niche Food & Dining Enthusiasts,Entertainment,DIY Projects,True
SEG_000093,AUD_000034,Emerging Entertainment Enthusiasts,Books,International News,False
SEG_000094,AUD_000034,Niche Fitness Enthusiasts,Books,DIY Projects,True
SEG_000095,AUD_000035,Emerging Sports Enthusiasts,Food & Dining,Investment,False
SEG_000096,AUD_000035,Core Fashion & Beauty Enthusiasts,Home & Garden,Social Media,False
SEG_000097,AUD_000035,Emerging Parenting Enthusiasts,Entertainment,Eco-Friendly,False
SEG_000098,AUD_000036,Core Gaming Enthusiasts,Politics,Career Development,True
SEG_000099,AUD_000036,Niche Art & Culture Enthusiasts,Home & Garden,Social Causes,False
SEG_000100,AUD_000036,Core Art & Culture Enthusiasts,Outdoor Activities,Cooking,True
SEG_000101,AUD_000037,Value Fashion & Beauty Enthusiasts,Science,Eco-Friendly,True
SEG_000102,AUD_000037,Emerging Education Enthusiasts,Music,Celebrity News,False
SEG_000103,AUD_000037,Premium Music Enthusiasts,Technology,Social Causes,True
SEG_000104,AUD_000037,Niche Finance Enthusiasts,Art & Culture,Streaming,False
SEG_000105,AUD_000038,Emerging Fashion & Beauty Enthusiasts,Automotive,Social Causes,False
SEG_000106,AUD_000038,Core Politics Enthusiasts,Health & Wellness,E-commerce,False
SEG_000107,AUD_000038,Core Health & Wellness Enthusiasts,Finance,Eco-Friendly,True
SEG_000108,AUD_000039,Core Books Enthusiasts,Books,Social Causes,False
SEG_000109,AUD_000039,Value Travel Enthusiasts,Parenting,International News,False
SEG_000110,AUD_000039,Value Fashion & Beauty Enthusiasts,Fashion & Beauty,Local Events,True
SEG_000111,AUD_000040,Core Parenting Enthusiasts,Food & Dining,Budget Shopping,False
SEG_000112,AUD_000040,Emerging Politics Enthusiasts,Parenting,Cooking,True
SEG_000113,AUD_000040,Premium Politics Enthusiasts,Food & Dining,E-commerce,False
SEG_000114,AUD_000041,Core Education Enthusiasts,Home & Garden,Career Development,False
SEG_000115,AUD_000042,Emerging Environment Enthusiasts,Science,Social Causes,False
SEG_000116,AUD_000042,Niche Books Enthusiasts,Home & Garden,DIY Projects,False
SEG_000117,AUD_000042,Niche Real Estate Enthusiasts,Health & Wellness,Cooking,False
SEG_000118,AUD_000043,Value Science Enthusiasts,Art & Culture,Mobile Apps,True
SEG_000119,AUD_000044,Premium Art & Culture Enthusiasts,Sports,Social Media,True
SEG_000120,AUD_000045,Premium Gaming Enthusiasts,Environment,Streaming,False
SEG_000121,AUD_000045,Emerging Real Estate Enthusiasts,Fitness,Mobile Apps,False
SEG_000122,AUD_000045,Core Books Enthusiasts,Art & Culture,Celebrity News,True
SEG_000123,AUD_000045,Niche Sports Enthusiasts,Fitness,E-commerce,True
SEG_000124,AUD_000046,Value Outdoor Activities Enthusiasts,Fitness,Budget Shopping,True
SEG_000125,AUD_000047,Premium Business Enthusiasts,Art & Culture,DIY Projects,True
SEG_000126,AUD_000047,Emerging Real Estate Enthusiasts,Finance,Budget Shopping,True
SEG_000127,AUD_000047,Premium Gaming Enthusiasts,Finance,Cooking,False
SEG_000128,AUD_000048,Core Fashion & Beauty Enthusiasts,Sports,Social Causes,False
SEG_000129,AUD_000048,Premium Finance Enthusiasts,Finance,Investment,True
SEG_000130,AUD_000048,Core Fashion & Beauty Enthusiasts,Food & Dining,Cooking,True
SEG_000131,AUD_000049,Core Fitness Enthusiasts,Real Estate,International News,False
SEG_000132,AUD_000050,Core Fitness Enthusiasts,Books,Social Causes,True
SEG_000133,AUD_000050,Niche Politics Enthusiasts,Outdoor Activities,E-commerce,False
SEG_000134,AUD_000050,Value Books Enthusiasts,Education,Eco-Friendly,False
SEG_000135,AUD_000051,Value Music Enthusiasts,Education,Budget Shopping,False
SEG_000136,AUD_000051,Emerging Politics Enthusiasts,Travel,Celebrity News,True
SEG_000137,AUD_000051,Niche Politics Enthusiasts,Science,International News,True
SEG_000138,AUD_000051,Niche Travel Enthusiasts,Health & Wellness,Budget Shopping,True
SEG_000139,AUD_000052,Niche Fashion & Beauty Enthusiasts,Food & Dining,Celebrity News,True
SEG_000140,AUD_000052,Emerging Health & Wellness Enthusiasts,Home & Garden,E-commerce,True
SEG_000141,AUD_000052,Niche Business Enthusiasts,Education,Streaming,True
SEG_000142,AUD_000052,Core Fashion & Beauty Enthusiasts,Education,Mobile Apps,True
SEG_000143,AUD_000053,Premium Parenting Enthusiasts,Education,Streaming,False
SEG_000144,AUD_000053,Premium Food & Dining Enthusiasts,Food & Dining,Celebrity News,False
SEG_000145,AUD_000053,Value Entertainment Enthusiasts,Automotive,Eco-Friendly,True
SEG_000146,AUD_000053,Emerging Art & Culture Enthusiasts,Environment,Celebrity News,True
SEG_000147,AUD_000054,Value Fashion & Beauty Enthusiasts,Science,Budget Shopping,False
SEG_000148,AUD_000054,Core Food & Dining Enthusiasts,Education,Social Causes,False
SEG_000149,AUD_000054,Emerging Automotive Enthusiasts,Music,DIY Projects,True
SEG_000150,AUD_000055,Value Business Enthusiasts,Real Estate,Career Development,False
SEG_000151,AUD_000055,Niche Parenting Enthusiasts,Music,DIY Projects,False
SEG_000152,AUD_000056,Emerging Outdoor Activities Enthusiasts,Pets,Mobile Apps,True
SEG_000153,AUD_000057,Premium Art & Culture Enthusiasts,Politics,Career Development,True
SEG_000154,AUD_000057,Emerging Pets Enthusiasts,Real Estate,DIY Projects,True
SEG_000155,AUD_000057,Niche Politics Enthusiasts,Sports,International News,False
SEG_000156,AUD_000057,Core Travel Enthusiasts,Politics,Investment,True
SEG_000157,AUD_000058,Niche Entertainment Enthusiasts,Home & Garden,Mobile Apps,False
SEG_000158,AUD_000058,Premium Fashion & Beauty Enthusiasts,Outdoor Activities,International News,True
SEG_000159,AUD_000058,Premium Technology Enthusiasts,Fitness,Local Events,False
SEG_000160,AUD_000059,Emerging Politics Enthusiasts,Health & Wellness,International News,True
SEG_000161,AUD_000059,Value Books Enthusiasts,Pets,Eco-Friendly,False
SEG_000162,AUD_000059,Premium Music Enthusiasts,Science,DIY Projects,True
SEG_000163,AUD_000059,Niche Automotive Enthusiasts,Art & Culture,Investment,False
SEG_000164,AUD_000060,Emerging Science Enthusiasts,Outdoor Activities,Local Events,True
SEG_000165,AUD_000060,Emerging Education Enthusiasts,Health & Wellness,E-commerce,False
SEG_000166,AUD_000060,Premium Science Enthusiasts,Sports,Luxury Goods,False
SEG_000167,AUD_000061,Premium Environment Enthusiasts,Entertainment,Mobile Apps,False
SEG_000168,AUD_000062,Niche Travel Enthusiasts,Politics,Eco-Friendly,True
SEG_000169,AUD_000062,Core Environment Enthusiasts,Food & Dining,Cooking,False
SEG_000170,AUD_000062,Niche Gaming Enthusiasts,Music,Celebrity News,True
SEG_000171,AUD_000062,Premium Outdoor Activities Enthusiasts,Gaming,Investment,False
SEG_000172,AUD_000063,Value Books Enthusiasts,Fashion & Beauty,Local Events,False
SEG_000173,AUD_000064,Premium Business Enthusiasts,Politics,International News,True
SEG_000174,AUD_000064,Value Fitness Enthusiasts,Gaming,Budget Shopping,False
SEG_000175,AUD_000065,Niche Health & Wellness Enthusiasts,Fashion & Beauty,Investment,False
SEG_000176,AUD_000065,Premium Automotive Enthusiasts,Real Estate,Social Media,True
SEG_000177,AUD_000065,Niche Health & Wellness Enthusiasts,Environment,Celebrity News,True
SEG_000178,AUD_000065,Niche Sports Enthusiasts,Books,Eco-Friendly,True
SEG_000179,AUD_000066,Niche Home & Garden Enthusiasts,Parenting,Local Events,True
SEG_000180,AUD_000066,Premium Science Enthusiasts,Environment,Local Events,False
SEG_000181,AUD_000066,Premium Art & Culture Enthusiasts,Politics,Budget Shopping,False
SEG_000182,AUD_000067,Core Automotive Enthusiasts,Food & Dining,E-commerce,False
SEG_000183,AUD_000067,Emerging Parenting Enthusiasts,Technology,Career Development,True
SEG_000184,AUD_000067,Emerging Art & Culture Enthusiasts,Pets,E-commerce,False
SEG_000185,AUD_000067,Premium Music Enthusiasts,Health & Wellness,Photography,True
SEG_000186,AUD_000068,Value Science Enthusiasts,Art & Culture,Eco-Friendly,True
SEG_000187,AUD_000069,Value Education Enthusiasts,Finance,Eco-Friendly,True
SEG_000188,AUD_000069,Premium Fitness Enthusiasts,Art & Culture,Luxury Goods,False
SEG_000189,AUD_000070,Value Food & Dining Enthusiasts,Fitness,Career Development,False
SEG_000190,AUD_000070,Premium Education Enthusiasts,Parenting,Career Development,True
SEG_000191,AUD_000070,Niche Business Enthusiasts,Outdoor Activities,DIY Projects,False
SEG_000192,AUD_000071,Premium Technology Enthusiasts,Technology,Streaming,False
SEG_000193,AUD_000072,Value Technology Enthusiasts,Outdoor Activities,Budget Shopping,False
SEG_000194,AUD_000073,Premium Food & Dining Enthusiasts,Environment,Budget Shopping,True
SEG_000195,AUD_000073,Emerging Music Enthusiasts,Music,DIY Projects,False
SEG_000196,AUD_000073,Value Business Enthusiasts,Environment,Luxury Goods,False
SEG_000197,AUD_000073,Core Outdoor Activities Enthusiasts,Art & Culture,DIY Projects,False
SEG_000198,AUD_000074,Core Parenting Enthusiasts,Education,Investment,True
SEG_000199,AUD_000075,Premium Business Enthusiasts,Science,Eco-Friendly,True
SEG_000200,AUD_000076,Niche Automotive Enthusiasts,Gaming,Mobile Apps,False
SEG_000201,AUD_000076,Niche Outdoor Activities Enthusiasts,Entertainment,Career Development,True
SEG_000202,AUD_000077,Premium Sports Enthusiasts,Finance,Mobile Apps,False
SEG_000203,AUD_000078,Niche Pets Enthusiasts,Sports,Social Causes,False
SEG_000204,AUD_000078,Emerging Business Enthusiasts,Education,International News,False
SEG_000205,AUD_000078,Premium Parenting Enthusiasts,Real Estate,Social Causes,True
SEG_000206,AUD_000079,Niche Pets Enthusiasts,Technology,Mobile Apps,False
SEG_000207,AUD_000079,Value Health & Wellness Enthusiasts,Politics,Investment,True
SEG_000208,AUD_000080,Value Environment Enthusiasts,Fitness,E-commerce,False
SEG_000209,AUD_000080,Niche Real Estate Enthusiasts,Education,International News,False
SEG_000210,AUD_000080,Emerging Entertainment Enthusiasts,Food & Dining,E-commerce,True
SEG_000211,AUD_000081,Value Fashion & Beauty Enthusiasts,Politics,Career Development,True
SEG_000212,AUD_000081,Core Business Enthusiasts,Health & Wellness,Career Development,False
SEG_000213,AUD_000081,Emerging Books Enthusiasts,Music,Investment,False
SEG_000214,AUD_000081,Value Fashion & Beauty Enthusiasts,Gaming,Luxury Goods,True
SEG_000215,AUD_000082,Premium Pets Enthusiasts,Food & Dining,Social Causes,False
SEG_000216,AUD_000082,Core Health & Wellness Enthusiasts,Politics,Cooking,True
SEG_000217,AUD_000082,Premium Health & Wellness Enthusiasts,Health & Wellness,International News,True
SEG_000218,AUD_000083,Emerging Books Enthusiasts,Entertainment,Photography,True
SEG_000219,AUD_000083,Value Health & Wellness Enthusiasts,Fashion & Beauty,Celebrity News,False
SEG_000220,AUD_000084,Premium Environment Enthusiasts,Sports,Streaming,True
SEG_000221,AUD_000085,Value Finance Enthusiasts,Outdoor Activities,Career Development,False
SEG_000222,AUD_000085,Emerging Environment Enthusiasts,Entertainment,Mobile Apps,True
SEG_000223,AUD_000085,Premium Sports Enthusiasts,Sports,Investment,True
SEG_000224,AUD_000086,Emerging Education Enthusiasts,Business,Mobile Apps,True
SEG_000225,AUD_000086,Premium Business Enthusiasts,Real Estate,Investment,False
SEG_000226,AUD_000086,Value Education Enthusiasts,Home & Garden,Budget Shopping,False
SEG_000227,AUD_000086,Value Parenting Enthusiasts,Real Estate,Social Media,True
SEG_000228,AUD_000087,Core Environment Enthusiasts,Business,Eco-Friendly,True
SEG_000229,AUD_000088,Niche Gaming Enthusiasts,Fitness,E-commerce,True
SEG_000230,AUD_000088,Emerging Science Enthusiasts,Gaming,Social Media,False
SEG_000231,AUD_000088,Core Automotive Enthusiasts,Real Estate,Streaming,True
SEG_000232,AUD_000088,Value Home & Garden Enthusiasts,Health & Wellness,E-commerce,True
SEG_000233,AUD_000089,Value Finance Enthusiasts,Art & Culture,Streaming,True
SEG_000234,AUD_000089,Emerging Automotive Enthusiasts,Pets,Eco-Friendly,True
SEG_000235,AUD_000089,Premium Finance Enthusiasts,Outdoor Activities,Cooking,True
SEG_000236,AUD_000089,Niche Technology Enthusiasts,Outdoor Activities,Photography,False
SEG_000237,AUD_000090,Core Art & Culture Enthusiasts,Art & Culture,Cooking,False
SEG_000238,AUD_000090,Emerging Automotive Enthusiasts,Music,Luxury Goods,True
SEG_000239,AUD_000090,Core Home & Garden Enthusiasts,Automotive,Eco-Friendly,False
SEG_000240,AUD_000090,Premium Finance Enthusiasts,Parenting,Eco-Friendly,False
SEG_000241,AUD_000091,Premium Food & Dining Enthusiasts,Travel,Cooking,True
SEG_000242,AUD_000091,Niche Health & Wellness Enthusiasts,Education,Investment,False
SEG_000243,AUD_000092,Emerging Books Enthusiasts,Environment,Local Events,True
SEG_000244,AUD_000092,Niche Sports Enthusiasts,Science,Local Events,True
SEG_000245,AUD_000092,Emerging Finance Enthusiasts,Gaming,Streaming,False
SEG_000246,AUD_000093,Core Politics Enthusiasts,Parenting,Social Causes,False
SEG_000247,AUD_000094,Value Books Enthusiasts,Books,Investment,False
SEG_000248,AUD_000094,Value Parenting Enthusiasts,Real Estate,E-commerce,False
SEG_000249,AUD_000095,Premium Education Enthusiasts,Health & Wellness,Mobile Apps,False
SEG_000250,AUD_000095,Value Outdoor Activities Enthusiasts,Outdoor Activities,Luxury Goods,False
SEG_000251,AUD_000095,Value Real Estate Enthusiasts,Sports,International News,True
SEG_000252,AUD_000096,Emerging Education Enthusiasts,Home & Garden,Mobile Apps,False
SEG_000253,AUD_000096,Core Science Enthusiasts,Pets,International News,False
SEG_000254,AUD_000096,Niche Fashion & Beauty Enthusiasts,Real Estate,Budget Shopping,True
SEG_000255,AUD_000096,Value Education Enthusiasts,Real Estate,Streaming,False
SEG_000256,AUD_000097,Core Travel Enthusiasts,Pets,Streaming,True
SEG_000257,AUD_000097,Core Food & Dining Enthusiasts,Education,E-commerce,False
SEG_000258,AUD_000098,Value Food & Dining Enthusiasts,Environment,Celebrity News,True
SEG_000259,AUD_000099,Premium Entertainment Enthusiasts,Health & Wellness,Eco-Friendly,False
SEG_000260,AUD_000099,Emerging Health & Wellness Enthusiasts,Home & Garden,International News,True
SEG_000261,AUD_000099,Core Technology Enthusiasts,Gaming,Luxury Goods,True
SEG_000262,AUD_000099,Emerging Art & Culture Enthusiasts,Music,Celebrity News,True
SEG_000263,AUD_000100,Niche Art & Culture Enthusiasts,Fitness,Eco-Friendly,False
SEG_000264,AUD_000100,Value Sports Enthusiasts,Health & Wellness,International News,False
SEG_000265,AUD_000101,Value Business Enthusiasts,Real Estate,International News,True
SEG_000266,AUD_000101,Niche Science Enthusiasts,Environment,E-commerce,False
SEG_000267,AUD_000101,Value Fashion & Beauty Enthusiasts,Sports,E-commerce,True
SEG_000268,AUD_000101,Core Business Enthusiasts,Home & Garden,Photography,False
SEG_000269,AUD_000102,Core Real Estate Enthusiasts,Technology,Eco-Friendly,False
SEG_000270,AUD_000102,Core Gaming Enthusiasts,Science,International News,False
SEG_000271,AUD_000102,Niche Entertainment Enthusiasts,Art & Culture,Career Development,True
SEG_000272,AUD_000102,Niche Books Enthusiasts,Art & Culture,E-commerce,False
SEG_000273,AUD_000103,Niche Food & Dining Enthusiasts,Music,Budget Shopping,True
SEG_000274,AUD_000103,Value Automotive Enthusiasts,Politics,International News,True
SEG_000275,AUD_000104,Core Art & Culture Enthusiasts,Pets,DIY Projects,False
SEG_000276,AUD_000104,Premium Food & Dining Enthusiasts,Parenting,Photography,False
SEG_000277,AUD_000105,Value Automotive Enthusiasts,Health & Wellness,Budget Shopping,False
SEG_000278,AUD_000105,Premium Travel Enthusiasts,Politics,E-commerce,False
SEG_000279,AUD_000105,Emerging Books Enthusiasts,Music,Investment,False
SEG_000280,AUD_000105,Premium Fashion & Beauty Enthusiasts,Automotive,DIY Projects,True
SEG_000281,AUD_000106,Core Fitness Enthusiasts,Outdoor Activities,Eco-Friendly,True
SEG_000282,AUD_000106,Niche Environment Enthusiasts,Home & Garden,E-commerce,True
SEG_000283,AUD_000106,Core Automotive Enthusiasts,Entertainment,Celebrity News,True
SEG_000284,AUD_000107,Value Finance Enthusiasts,Food & Dining,Streaming,True
SEG_000285,AUD_000108,Premium Environment Enthusiasts,Automotive,Social Causes,False
SEG_000286,AUD_000109,Value Health & Wellness Enthusiasts,Science,Budget Shopping,True
SEG_000287,AUD_000109,Core Science Enthusiasts,Technology,DIY Projects,False
SEG_000288,AUD_000109,Emerging Outdoor Activities Enthusiasts,Technology,Luxury Goods,True
SEG_000289,AUD_000110,Value Home & Garden Enthusiasts,Gaming,Career Development,True
SEG_000290,AUD_000110,Premium Fashion & Beauty Enthusiasts,Art & Culture,Luxury Goods,True
SEG_000291,AUD_000110,Emerging Health & Wellness Enthusiasts,Environment,Eco-Friendly,True
SEG_000292,AUD_000110,Premium Environment Enthusiasts,Entertainment,Celebrity News,True
SEG_000293,AUD_000111,Niche Food & Dining Enthusiasts,Education,Photography,True
SEG_000294,AUD_000111,Niche Health & Wellness Enthusiasts,Pets,Streaming,False
SEG_000295,AUD_000111,Premium Home & Garden Enthusiasts,Health & Wellness,DIY Projects,False
SEG_000296,AUD_000111,Emerging Entertainment Enthusiasts,Fashion & Beauty,Streaming,False
SEG_000297,AUD_000112,Core Health & Wellness Enthusiasts,Outdoor Activities,Career Development,True
SEG_000298,AUD_000113,Niche Gaming Enthusiasts,Technology,Eco-Friendly,True
SEG_000299,AUD_000113,Core Finance Enthusiasts,Business,Social Media,True
SEG_000300,AUD_000113,Niche Real Estate Enthusiasts,Entertainment,Local Events,True
SEG_000301,AUD_000114,Core Environment Enthusiasts,Science,Social Causes,False
SEG_000302,AUD_000114,Value Politics Enthusiasts,Science,Photography,False
SEG_000303,AUD_000114,Premium Education Enthusiasts,Fashion & Beauty,E-commerce,False
SEG_000304,AUD_000115,Niche Real Estate Enthusiasts,Science,Luxury Goods,True
SEG_000305,AUD_000115,Premium Business Enthusiasts,Food & Dining,International News,True
SEG_000306,AUD_000116,Value Business Enthusiasts,Travel,Budget Shopping,True
SEG_000307,AUD_000116,Emerging Fitness Enthusiasts,Finance,Investment,True
SEG_000308,AUD_000116,Core Health & Wellness Enthusiasts,Politics,Budget Shopping,True
SEG_000309,AUD_000116,Niche Outdoor Activities Enthusiasts,Books,Photography,True
SEG_000310,AUD_000117,Emerging Politics Enthusiasts,Technology,Mobile Apps,False
SEG_000311,AUD_000117,Premium Home & Garden Enthusiasts,Books,Photography,False
SEG_000312,AUD_000117,Value Health & Wellness Enthusiasts,Pets,Budget Shopping,True
SEG_000313,AUD_000118,Niche Music Enthusiasts,Parenting,Photography,True
SEG_000314,AUD_000118,Core Politics Enthusiasts,Fashion & Beauty,Eco-Friendly,False
SEG_000315,AUD_000119,Value Technology Enthusiasts,Politics,Social Causes,True
SEG_000316,AUD_000120,Premium Entertainment Enthusiasts,Real Estate,Investment,True
SEG_000317,AUD_000120,Niche Travel Enthusiasts,Art & Culture,E-commerce,False
SEG_000318,AUD_000121,Value Home & Garden Enthusiasts,Art & Culture,Celebrity News,True
SEG_000319,AUD_000121,Emerging Finance Enthusiasts,Real Estate,E-commerce,True
SEG_000320,AUD_000122,Core Travel Enthusiasts,Gaming,Streaming,False
SEG_000321,AUD_000122,Value Fitness Enthusiasts,Outdoor Activities,Mobile Apps,False
SEG_000322,AUD_000122,Value Fitness Enthusiasts,Fashion & Beauty,Streaming,False
SEG_000323,AUD_000123,Emerging Business Enthusiasts,Pets,Social Causes,True
SEG_000324,AUD_000124,Core Outdoor Activities Enthusiasts,Finance,E-commerce,False
SEG_000325,AUD_000124,Core Pets Enthusiasts,Business,Social Media,True
SEG_000326,AUD_000124,Emerging Sports Enthusiasts,Science,Social Media,True
SEG_000327,AUD_000125,Value Fashion & Beauty Enthusiasts,Fashion & Beauty,Cooking,False
SEG_000328,AUD_000125,Core Art & Culture Enthusiasts,Music,Cooking,False
SEG_000329,AUD_000126,Emerging Politics Enthusiasts,Real Estate,Eco-Friendly,False
